cscode	capacity	name	address	नाम	ठेगाना	lat	long
27003	500	NATIONAL SCHOOL OF SCIENCES SECONDARY SCHOOL	LAINCHAUR	नेशनल स्कुल अफ साइन्सेस मा.वि	लैनचौर	27.71933026	85.31413793
27051	500	UNIGLOBE MA VI	KAMALADI	युनिग्लोब मा.वि	कमलादी	27.70792875	85.32068522
27045	568	SOUTH WESTERN ACADEMY SECONDARY SCHOOL	BASUNDHARA	साउथ वेर्ष्टन एकेडेमी मा.वि.	बसुन्धरा	27.74212647	85.33392421
27075	500	SIGMA SECONDARY SCHOOL	SORAKHUTTA	सिग्मा मा.वि.	सोह्रखुट्टे	27.71854977	85.30801396
27115	382	NABODIT BIDHYAKUNJA SECONDARY SCHOOL	MAHAIPI SORAKHUTTA	नवोदीत विद्याकुञ्ज मा.वि	म्हैपी सामाखुसी	27.72561392	85.31288447
27134	296	PRIME INTERNATIONAL SECONDARY SCHOOL	NAYABAZAR	प्राइम इन्टरनेशनल मा.वि.	नयाँबजार	27.7211371	85.30302673
27135	400	RICHMOND ACADEMY SECONDARY SCHOOL	KALANKI	रिचमण्ड एकेडेमी मा.वि	कलंकी	27.69156388	85.28377703
27137	363	MADAN BHANDARI SMIRITI SECONDARY SCHOOL	NAYA BANESHWAR	मदन भण्डारी स्मृति मा.वि.	नयाँबानेश्वर	27.69546246	85.3294068
27192	550	PADMAKANYA BIDYASHRAM SECONDARY SCHOOL	DILLIBAZAR	पद्यकन्या विद्याश्रम मा.वि.	डिल्लीबजार	27.70542575	85.32621415
27243	444	SHANTI BIDHYAGRIHA SECONDARY SCHOOL	LAINCHAUR	शान्ति विद्यागृह मा.वि	लैन्चौर	27.71805963	85.31370656
27412	353	ABHISHEK GYAN MANDIR SECONDARY SCHOOL	SINAMANGAL	अभिषेक ज्ञान मन्दिर मा.वि	सिनामंगल	27.70389647	85.35361771
27425	384	KOTESHWOR SARASWATI SECONDARY SCHOOL	KOTESHWOR	कोटेश्वर सरस्वति मा.वि	कोटेश्वर	27.68069531	85.34123255
27006	342	HOLYVISION SECONDARY SCHOOL	TAHACHAL	होली भिजन मा.वि	ताहाचल	27.70189166	85.29430163
27007	503	TRINITY INTERNATIONAL SECONDARY SCHOOL	DILLIBAZAR	ट्रिनिटि इन्टरनेशनल मा.वि.	डिल्लीबजार	27.70399774	85.32512105
27010	425	CHIRAN MILAN BISHWASHANTI CAMPUS	BASBARI	चिरन मिलन विश्वशान्ति क्याम्पस	बाँसबारी	27.74333356	85.3458741
27011	482	VISHWO NIKETAN SECONDARY SCHOOL	TRIPURESHWAR	विश्व निकेतन मा.वि.	त्रिपुरेश्वर	27.69286658	85.31222397
27017	500	BINAYAK SUDHA NIKETAN SECONDARY SCHOOL	BANESHWAR	विनायक सुधा निकेतन	मिनभवन मा.वि. बानेश्वर	27.68589209	85.34305889
27018	379	WHITE FIELD SECONDARY SCHOOL	KHUSIBU	ह्वाइट फिल्ड मा.वि	खुसिवुँ	27.71684425	85.302833
27021	412	ANAPURNA SECONDARY SCHOOL	JYATHA	अन्नपूर्ण मा.वि	ज्याठा	27.70977978	85.3133301
27022	580	PASHUPATI MULTIPLE CAMPUS	SUKEDHARA	पशुपति बहुमुखी क्याम्पस	सुकेधारा	27.71367992	85.34466054
27025	500	BAGMATI BOARDING SECONDARY SCHOOL	SUKEDHARA	वागमती बोर्डिङ मा.वि.	सुकेधारा	27.72833813	85.34655913
27028	429	SIDDHARTHA BANASTHALI SCIENCE CAMPUS	BANASTHALI	सिद्धार्थ बनस्थली साइन्स क्याम्पस	बनस्थली	27.72537973	85.29802861
27029	500	GOLDENGATE INTERNATIONAL SECONDARY SCHOOL	BATTISPUTALI	गोल्डेनगेट इन्टरनेशनल मा.वि.	बत्तिसपुतली	27.70386999	85.34027905
27036	386	ST.LAWERENCE SECONDARY SCHOOL	CHABAHIL	सेन्ट लरेन्स मा.वि	चावहिल	27.71480364	85.34741608
27038	428	BHANUBHAKTA MEMORIAL SECONDARY SCHOOL	PANIPOKHARI	भानुभक्त मेमोरियल मा.वि.	पानीपोखरी	27.72680681	85.32469299
27039	493	KANYA MANDIR SECONDARY SCHOOL	NAKHYA	कन्या मन्दिर मा.वि	न्याँखा	27.71021634	85.30897002
27041	345	ADARSHA SECONDARY SCHOOL	BHADRABAS	आदर्श मा.वि	भद्रवास	27.73941661	85.41827725
27043	397	JANAMAITRI MULTIPLE CAMPUS	KULESHWAR	जनमैत्री बहुमुखी क्याम्पस	कुलेश्वर	27.69197447	85.29236267
27049	527	AMBITION ACADEMY	BANESHWAR	एम्बिसन एकेडेमी	बानेश्वर	27.69510661	85.33638301
27050	500	XAVIER INTERNATIONAL SECONDARY SCHOOL	KALOPUL	जेभियर्स इन्टरनेशनल मा.वि.	कालोपुल	27.71695841	85.34992842
27057	550	NOBEL ACADEMY SECONDARY SCHOOL	NAYA BANESHWAR	नोवेल एकेडेमी मा.वि.	नयाँबानेश्वर	27.69135928	85.33184875
27060	447	LINCOLN SECONDARY SCHOOL	GONGABU	लिंकन मा.वि	गोंगवु	27.73508718	85.31779887
27349	480	COSMIC INTERNATIONAL ACADEMY	KOTESHWOR	कस्मिक ईन्टरनेश्नल एकेडेमी	कोटेश्वर	27.67513171	85.34535328
27063	585	HIMALAYA WHITE HOUSE INTERNATIONAL SECONDARY SCHOOL	TINKUNA	हिमालय ह्वाइट हाउस इन्टरनेशनल मा.वि	तिनकुने	27.68425488	85.34742832
27064	412	HIMALAYA ENGLISH BOARDING SECONDARY SCHOOL	KOTESHWOR	हिमालय ई.बो.मा.वि	कोटेश्वर	27.68014605	85.3469212
27065	500	ARUNIMA SECONDARY SCHOOL	BOUDDHA	अरुणिमा मा.वि	बौद्ध	27.71757134	85.35907641
27067	523	LRI SECONDARY SCHOOL	KALANKISTHAN	एलआरआई मा.वि	कलंकीस्थान	27.69293537	85.27456998
27072	559	BANESHWAR CAMPUS	SHANTINAGAR	बानेश्वर क्याम्पस	शान्तिनगर	27.68907762	85.34767662
27074	538	PASANGLAMHU SHERPA SECONDARY SCHOOL	GONGABU	पासाङल्हामु शेर्पा मा.वि.	गोंगवु	27.73488048	85.31551534
27076	304	NASA INTERNATIONAL SECONDARY SCHOOL	GAIRIGAUN	नासा इन्टरनेशनल मा.वि.	गैरीगाउँ	27.68802838	85.3504649
27080	274	CAPITAL HILL ACADEMY SECONDARY SCHOOL	TEKU	क्यापिटल हिल एकेडेमी मा.वि	टेकु	27.69648072	85.303153
27081	500	SWAPNA BATIKA ACADEMY	BUDDHANAGAR	स्वप्न बाटिका एकेडेमी	बुद्धनगर	27.68406009	85.3293541
27083	300	COLUMBUS SECONDARY SCHOOL	SHANKHAMUL	कोलम्वस मा.वि.	शंखमूल	27.68656652	85.33038606
27084	399	SIDDHARTHA ACADEMY SECONDARY SCHOOL	BAFAL	सिद्धार्थ एकेडेमी मा.वि.	बाफल	27.70487476	85.31798675
27086	500	MANMOHAN MEMORIAL COLLEGE	SORAKHUTTA	मनमोहन मेमोरियल कलेज	सोह्रखुट्टे	27.71860445	85.30902555
27090	459	NEW MILINIUM ACADEMY	SUKEDHARA	न्यू मिलेनियम एकेडेमी.	सुकेधारा	27.72903854	85.34554073
27091	469	ACTIVE ACADEMY	BASUNDHARA	एक्टिभ एकेडेमी	बसुन्धरा	27.74198562	85.32971838
27092	409	PAROPAKAR ADARSHA SECONDARY SCHOOL	BHIMSENSTHAN	परोपकार आदर्श मा.वि	भिनसेनस्थान	27.7017522	85.30344171
27095	347	EDMARK ACADEMY SECONDARY SCHOOL	KALANKI	एडमार्क एकेडेमी मा.वि	कलंकी	27.69481784	85.28237606
27097	363	BRILLENT EDUCATION SECONDARY SCHOOL	CHABAHIL	व्रिलियन्ट एजुकेशनल मा.वि	चावहिल	27.71434193	85.34137613
27101	500	KATHMANDU MODEL SECONDARY SCHOOL	BAGBAZAR	काठमाडौ मोडेल मा.वि.	बागबजार	27.70674635	85.31889228
27102	466	JAGIT MANDIR SECONDARY SCHOOL	CHABAHIL	जगत मन्दिर मा.वि	चावहिल	27.71601668	85.34272884
27104	436	THE TIMES ENGLISH SCHOOL	DILLIBAZAR	द टाइम्स ई स्कुल	डिल्लीबजार	27.7089051	85.32640669
27106	262	REHDON SECONDARY SCHOOL	SAMAKHUSHI	रेडन मा.वि.	सामाखुसी	27.72807561	85.31416334
27107	566	GITAMATA SECONDARY SCHOOL	BAJESHWARI	गीतामाता मा.वि.	बिजेश्वरी	27.71037044	85.29660232
27113	550	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	काठमाडौं वर्नहार्ट मा.वि	बल्खु	27.70217431	85.28330251
27219	400	TAKSHASHILA ACADEMY	SAMAKHUSHI	तक्षशिला एकाडेमी	सामाखुसी	27.73566929	85.32207326
27117	509	NEPAL MEGHA COLLEGE	BABARMAHAL	नेपाल मेघा कलेज.	बबरमहल	27.69173668	85.32796078
27118	407	TRITON INTERNATIONAL SECONDARY SCHOOL	SUBDHANAGAR TINKUNE	ट्रिटन इन्टरनेशनल मा.वि	सुविधानगर तिनकुने	27.68282803	85.34403889
27119	390	PREMIER SECONDARY SCHOOL	NAYABANESHWAR	प्रिमियर मा.वि	नयाँबानेश्वर	27.68716528	85.33698938
27125	472	LABORATRY SECONDARY SCHOOL	KRITIPUR	लेबोरेटरी मा.वि	कीर्तीपुर	27.67737325	85.29465772
27126	392	KNOWLEDGE AND WISDOM ACADEMY SECONDARY SCHOOL	NAYA BANESHWAR	नलेज एण्ड विज्डम एकेडेमी मा.वि.	नयाँबानेश्वर	27.68977945	85.334838
27127	446	CAPITAL SECONDARY SCHOOL	KOTESHWOR	क्यापिटल मा.वि.	कोटेश्वर	27.67354169	85.34490138
27133	557	GLOBAL COLLEGE OF MANAGEMENT	BANESHWAR	ग्लोबल कलेज अफ मेनेजमेन्ट	वनेश्वर	27.70027236	85.3403799
27136	509	EVEREST CAMPUS	THAPATHALI	एभरेष्ट क्याम्पस	थापाथली	27.69271851	85.31765498
27144	332	NEPALAYA SECONDARY SCHOOL	KALANKISTHAN	नेपालय मा.वि	कलंकीस्थान	27.6953174	85.28579575
27146	369	SARASWATI SECONDARY SCHOOL	TOKHA	सरस्वती मा.वि.	टोखा	27.76663323	85.33141477
27147	350	TILINGATAR SECONDARY SCHOOL	DHAPASI	तिलिङ्गटार मा.वि.	धापासी	27.7464988	85.33051014
27156	339	RELIANCE INTERNATIONAL SCHOOL	KAPAN	रिलायन्स इन्टरनेशनल स्कुल	कपन	27.73019313	85.35435024
27164	550	SHIVAPURI SECONDARY SCHOOL	MAHARJGUNJ	शिवपुरी मा.वि.	महाराजगञ्ज	27.73087779	85.33005995
27165	322	RAINBOW INTERNATIONAL BOARDING SCHOOL	DALLU CHAUNI	रेन्बो इन्टरनेशनल बो.स्कूल	डल्लु छाउनी	27.71992298	85.28598066
27169	400	GUASHEWARI SECONDARY SCHOOL	SINAMANGAL	गुह्येश्वरी मा.वि	सिनामंगल	27.69612598	85.35160925
27172	500	LIVERPOOL SECONDARY SCHOOL	BANESHWAR	लिभरपुल मा.वि.	बानेश्वर	27.68325231	85.33627557
27174	441	PADMODAYA SECONDARY SCHOOL	RAMSHAPATH	पद्योदय मा.वि.	रामशाहपथ	27.70164146	85.32160858
27179	544	KOTESHWOR MULTIPLE CAMPUS	JADIBUTI	कोटेश्वर बहुमुखी क्याम्पस	जडिबुटी	27.6760693	85.35480514
27183	446	KAUSTUIV ACADEMY SECONDARY SCHOOL	PEPSICOLA	कौस्तुभ एकेडेमी मा.वि	पेप्सिकोला	27.68889346	85.35887718
27186	399	KALIDEVI SECONDARY SCHOOL	KAVRESTHALI	कालीदेवी मा.वि.	काभ्रेस्थली	27.78931168	85.31166987
27187	504	GRAMMER PUBLIC SECONDARY SCHOOL	KOTESHWOR	ग्रामर पब्लिक मा.वि	कोटेश्वर	27.67883219	85.34174454
27188	500	RATNA RAJYA SECONDARY SCHOOL	BANESHWAR	रत्नराज्य मा.वि.	बानेश्वर	27.69585417	85.3374282
27195	430	JUBLIENT SECONDARY SCHOOL	KALIMATI	जुविल्याण्ट मा.वि	कालीमाटी	27.70296326	85.30328426
27197	465	JANA SEWA SECONDARY SCHOOL	KRITIPUR	जनसेवा मा.वि	कीर्तीपुर	27.6681543	85.27505615
27200	550	JANAKALYAN SECONDARY SCHOOL	BOUDHA	जनकल्याण मा.वि	बौद्ध	27.72626701	85.3580879
27201	378	GANESH SECONDARY SCHOOL	CHAPALI	गणेश मा.वि.	चपली	27.76099869	85.35199975
27203	296	TAUDHA RASTRIYA SECONDARY SCHOOL	TAUDHA	टौदह राष्ट्रिय मा.वि	टौदह	27.65124984	85.28368105
27204	450	LUMBINI ACADEMY	CHUCHIPATI	लुम्विनी एकेडेमी	चुच्चेपाटी	27.71993012	85.34986042
27205	478	CHAMUNDA SECONDARY SCHOOL	JORPATI	चामुण्डा मा.वि	जोरपाटी	27.72263966	85.37979764
27207	500	HERALD SECONDARY SCHOOL	BASUNDHARA	हेराल्ड मा.वि	बसुन्धरा	27.74300879	85.32911304
27208	333	MANASALU PUBLIC SECONDARY SCHOOL	NAYABAZAR	मनासलु पब्लिक मा.वि.	नयाँवजार	27.72095462	85.30751795
27214	387	EVER GREEN ENGLISG SECONDARY SCHOOL	SAKHU	एभर ग्रीन इ.मा.वि	साँखु	27.7266589	85.45963414
27058	400	EVEREST MA VI	SOLTEEMOD	एभरेष्ट मा.वि., सोल्टीमोड	सोल्टीमोड	27.70189486	85.29143678
27230	425	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	गान्धी आदर्श मा.वि	मनोहर	27.69674975	85.36984553
27235	308	ROYALTY SECONDARY SCHOOL	GOKARNESHWAR	रोयल्टी मा.वि	गोकर्णेश्वर	27.72040132	85.36290699
27236	423	BROOKLIN ACADEMY SECONDARY SCHOOL	SUKEDHARA	ब्रुक्लिन एकेडेमी मा.वि.	सुकेधारा	27.7264521	85.34709164
27238	500	PUSPA MEMORIAL CAMPUS	CHABAHIL	पुष्पलाल मेमोरियल क्याम्पस	चावहिल	27.71811025	85.3454141
27240	450	SHARADA SECONDARY SCHOOL	GAUSHALA	शारदा मा.वि	गौशाला	27.70195932	85.35005618
27241	397	TANGAL SECONDARY SCHOOL	TANGAL	टंगाल मा.वि.	टंगाल	27.71638472	85.33192611
27242	436	MAN SINGH DHARMA SECONDARY SCHOOL	MANAMAIJU	मानसिंह धर्म मा.वि.	मनमैजु	27.74554039	85.31145303
27244	325	MONOHAR SECONDARY SCHOOL	GONGABU	मनोहर मा.वि.	गोंगबु	27.7376457	85.31919904
27245	500	BAL UDDHAR SECONDARY SCHOOL	KAPAN	बाल उद्वार मा.वि.	कपन	27.73115151	85.35590866
27247	420	MAHENDRA BOUDHA SECONDARY SCHOOL	CHABAHIL	महेन्द्र बौद्ध मा.वि	चावहिल	27.72349381	85.36359654
27248	394	HIMALAYA ACADEMY SECONDARY SCHOOL	KAPURDHARA	हिमालय एकेडेमी मा.वि.	कपूरधारा	27.72513786	85.31508188
27251	240	KAMANA INTERNATIONAL SECONDARY SCHOOL	DHUNGADHARA	कामना इन्टरनेशनल मा.वि.	ढुङ्गेधारा	27.72281862	85.28817951
27257	342	GLACIER INTERNATIONAL SECONDARY SCHOOL	SHANTINAGAR	ग्लासियर इन्टरनेशनल मा.वि	शान्तिनगर	27.68773206	85.34294481
27260	420	SWATI SADAN SECONDARY SCHOOL	MACHAPOKHARI	स्वाती सदन मा.वि.	माछापोखरी	27.73669778	85.30423393
27263	408	COLLEGE OF NATIONAL ACADEMIC SQUARE	KOTESHWOR	कलेज अफ नेशनल एकेडेमीक स्क्वायर	कोटेश्वर	27.6791496	85.34738077
27265	538	MORGAN INTERNATIONAL SCHOOL	BASUNDHARA	मोरगन इन्टरनेशनल स्कुल	बसुन्धरा	27.75679994	85.33465557
27267	354	EASTPOLE SECONDARY SCHOOL	JORPATI	इष्टपोल मा.वि	जोरपाटी	27.72379776	85.37744555
27271	413	ANGELS HEART SECONDARY SCHOOL	TARAKESHWAR	एञ्जल हार्ट मा.वि.	तारकेश्वर	27.74346648	85.31264633
27278	530	BASBARI SECONDARY SCHOOL	BASBARI	बाँसबारी मा.वि	बाँसबारी	27.74133927	85.34493419
27279	470	MAHENDRA RASTRIYA SECONDARY SCHOOL	BALUWATAR	महेन्द्र राष्ट्रिय मा.वि.	बालुवाटार	27.72514421	85.33118965
27282	441	KATHMANDU UNIFIED SECONDARY SCHOOL	CHABAHIL	काठमाडौ युनिफाइड मा.वि	चावहिल	27.72659643	85.3505946
27283	484	TEJ BINAYAK SECONDARY SCHOOL	GOTHATAR	तेजविनायक मा.वि	गोठाटार	27.71404949	85.38027048
27291	457	SAIPAL ACADEMY SECONDARY SCHOOL	SUKEDHARA	साइपल एकेडेमी मा.वि.	सुकेधारा	27.72378867	85.33892347
27299	461	THE INSIGHT VISION SECONDARY SCHOOL	DHUMBARAHI	दि इन्साइट भिजन मा.वि	धुम्वराही	27.72622544	85.343221
27305	407	GREENFIELD NATIONAL SECONDARY SCHOOL	SITAPAILA	ग्रिनफिल्ड नेशनल मा.वि	सितापाइला	27.70492473	85.28350184
27307	418	GRAMSHIKSHA MANDIR SECONDARY SCHOOL	KAPAN	ग्रामशिक्षा मन्दिर मा.वि	कपन	27.74209116	85.36372161
27311	468	SITAPAILA SECONDARY SCHOOL	SITAPAILA	सीतापाइला मा.वि	सीतापाइला	27.70973848	85.28077264
27319	483	GYANODAYA SECONDARY SCHOOL	BAFAL	ज्ञानोदय मा.वि	बाफल	27.69931518	85.2844783
27321	557	WITS ACADEMY	BHUWALDANDA	वीट्स एकेडेमी	भुवालडाँडा	27.72662372	85.37207963
27335	593	AKASHDEEP ENGLISH SECONDARY SCHOOL	JORPATI	आकाशदीप इ.मा.वि.	जोरपाटी	27.72257096	85.38580218
27337	311	NEPAL YOUBAK SECONDARY SCHOOL	PAKANAJOL	नेपाल युवक मा.वि	पकनाजोल	27.71500814	85.30836448
27339	425	PASHUPATI MITRA SECONDARY SCHOOL	CHABAHIL	पशुपति मित्र मा.वि	चावहिल	27.71662223	85.34601801
27340	446	JANAPRABHAT SECONDARY SCHOOL	KALIMATI	जनप्रभात मा.वि	कालीमाटी	27.69868866	85.29405327
27341	589	JUDDHODAYA SECONDARY SCHOOL	CHETRAPATI	जुद्दोदय मा.वि	क्षेत्रपाटी	27.71271028	85.31022189
27344	508	JOSEPH ENGLISH SCHOOL	BOUDHA MAHANKAL	जोसेफ इ.स्कुल	बोद्ध माहांकाल	27.72714843	85.35822326
27345	437	JUGAL ENGLISH MEDIUM SCHOOL	KAPAN	जुगल इ मिडियम स्कुल	कपन	27.73273717	85.35622359
27362	450	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	कुलेश्वर आवास मा.वि	कुलेश्वर	27.69090392	85.2928593
27366	324	VENUS PUBLIC SCHOOL	JORPATI	भेनस पब्लिक स्कुल	जोरपाटी	27.7297575	85.37892604
27391	386	EKTA JEMS ENGLISH ACADEMY	JORPATI	एकता जेम्स इ एकेडेमी	जोरपाटी	27.71716154	85.37085775
27393	296	SCHEMS PUBLIC SCHOOL	MAHARAJGUNJ	स्कीम्स पब्लिक स्कुल	महाराजगञ्ज	27.74116768	85.33823491
27432	485	PRABHAT SECONDARY SCHOOL	THANKOT	प्रभात मा.वि	थानकोट	27.69149503	85.22631776
27433	369	MAHASHREE SECONDARY SCHOOL	SAMAKHUSHI	महर्षी मा.वि.	सामाखुसी	27.7304306	85.31235562
27435	596	PROGRESSIVE ENGLISH SECONDARY SCHOOL	MAHAKAL	प्रोग्रेसिभ इ.मा.वि.	महाकाल	27.72252638	85.35426848
27449	374	NANDI SECONDARY SCHOOL	NAXAL	नन्दी मा.वि.	नक्साल	27.71409593	85.32547081
27455	324	BELMONT INTERNATIONAL SECONDARY SCHOOL	SAMAKHUSHI	बेलमोन्ट इन्टरनेशनल मा.वि.	सामाखुसी	27.73183785	85.31701238
27458	409	ARUNODAYA SECONDARY SCHOOL	GOKARNESHWAR ARUBARI	अरुणोदय माध्यमिक विद्यालय गोकर्णेश्वर	आरुबारी	27.73135704	85.37508309
27462	380	SARBANAM SIKSHALAYA	GOKARNESHWAR JORPATI	सर्वनाम शिक्षालय	गोकर्णेश्वर जोरपाटी	27.71979202	85.36890885
27478	476	MANASALU WORLD SECONDARY SCHOOL	CHUCHIPATI CHABAHIL	मनासलु वर्ल्ड मा.वि.	चुच्चेपाटी चावहिल	27.71892315	85.35043696
27479	451	LIMPIYA NATIONAL SCHOOL	GOKARNESHWAR	लिम्पिया नेशनल स्कुल	गोकर्णेश्वर	27.71697513	85.37226505
27482	307	ATLANTIC BOARDING SECONDARY SCHOOL	JORPATI	एटलान्टिक बोर्डिङ स्कुल	जोरपाटी	27.71960942	85.3818591
27159	275	BIJAY SMARAK MA VI	DILLIBAZAR	विजय स्मारक मा. वि	डिल्लीबजार	27.70517355	85.32700234
27505	500	SHANTI SIKSHYA SECONDARY SCHOOL	THAHITI	शान्ति शिक्षा मन्दिर मा.वि	ठँहिटी	27.71130036	85.31004393
27447	466	JANAPATH SECONDARY SCHOOL	KALANKI	जनपथ मा.वि	कलंकी	27.69098098	85.28006915
